Paper,Flow_Scheduling,Orchestration,Multipath,Network_Optimization,DRL,LLM,Agent,Multi_Agent,RAG,Tool_Calling,Fine_Tuning,LoRA,QLoRA,Pruning,Quantization,Distillation,O_RAN,5G_Core,6G,Network_Slicing,Closed_Loop,Testbed,Simulator,Benchmark,Open_Code,Main_Metric,Main_Limitation
Enabling efficient routing for traffic engineering in SDN with Deep Reinforcement Learning,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
End-to-end Network Slicing for 5G Mobile Networks,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA
On Multi-Domain Network Slicing Orchestration Architecture and Federated Resource Control,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NR,Architecture-level contribution: multi-domain federation is described but not experimentally validated end to end; no optimisation engine or learning component specified.
"5G network slicing using SDN and NFV: A survey of taxonomy, architectures and future challenges",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,N/A,Survey - describes the landscape rather than contributing a new orchestrator; predates cloud-native and LLM-era orchestration.
Intent-Based Management of Next-Generation Networks: an LLM-Centric Approach,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,NR,Magazine-level contribution: framework and architecture rather than a measured closed-loop deployment; no network-level KPI evaluation reported.
AI-Driven Zero Touch Network and Service Management in 5G and Beyond: Challenges and Research Directions,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NR,Research-directions article: proposes the ZSM AI architecture and lists challenges without experimental validation; predates LLM-based agents.
Toward Zero-Touch Management and Orchestration of Massive Deployment of Network Slices in 6G,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,NR,Magazine-level architecture proposal without implementation or measurement.
A Cloud-Native Approach to 5G Network Slicing,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NR,Magazine-level architecture; no experimental evaluation; predates modern Kubernetes-based 5G cores.
Orchestrating Virtualized Network Functions,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,"End-to-end latency, orchestration cost","Static, one-shot placement optimisation; no learning, no closed-loop re-optimisation, no slice abstraction."
A Survey on the Placement of Virtual Resources and Virtual Network Functions,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,Survey - consolidates placement formulations; does not itself provide an orchestration engine.
Open RAN xApps Design and Evaluation: Lessons Learnt and Identified Challenges,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,KPI-level (per-xApp),Studies xApp design practice and challenges rather than proposing a single orchestrator; cross-xApp conflict resolution across many xApps remains open.
"Explainable AI in 6G O-RAN: A Tutorial and Survey on Architecture, Use Cases, Challenges, and Future Research",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,N/A,Survey - provides the XAI vocabulary for O-RAN but no new orchestration mechanism.
Resource Management From Single-Domain 5G to End-to-End 6G Network Slicing: A Survey,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,N/A,Survey - documents that end-to-end multi-domain slicing resource management remains open.
"A Survey on Large Language Models for Communication, Network, and Service Management: Application Insights, Challenges, and Future Directions",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,N/A,Survey - the most current consolidated picture of LLM-based management; necessarily incomplete for 2026 work.
A Multi-Agent Reinforcement Learning Architecture for Network Slicing Orchestration,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,Slice-level resource/utility metrics,"Focuses on the learning algorithm for slice resource allocation; slice lifecycle management and MANO integration are out of scope, so it is an allocation engine rather than a full orchestrator."
AI-NATIVE 6G: AUTONOMOUS HIERARCHICAL AGENTIC RAN AND CORE ORCHESTRATION,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA
TCP Extensions for Multipath Operation with Multiple Addresses (RFC 8684),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,N/A,"Normative text: does not prescribe an optimal scheduler, delivery-mode semantics, or reordering policy, which is exactly why the scheduler is a research problem."
MultiPath TCP: From Theory to Practice,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Throughput, completion time","Early prototype; the scheduler used is a simple heuristic whose behaviour on very heterogeneous paths later proved problematic (bufferbloat, head-of-line blocking)."
"Design, Implementation and Evaluation of Congestion Control for Multipath TCP",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Throughput, fairness, congestion balance",Coupling of congestion control does not solve packet scheduling; the interaction between the two remains a source of suboptimality.
Experimental evaluation of multipath TCP schedulers,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Throughput, buffer occupancy at the receiver, reordering",Small-scale testbed with two paths; no learning-based comparison (2014).
Low-Latency Scheduling in MPTCP,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"End-to-end latency, throughput, reordering",Rule-based; assumes reasonably accurate RTT estimation; does not learn from network state or coordinate with an orchestrator.
Multipath QUIC,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Throughput, completion time, handover behaviour",Early design; scheduler is a simple heuristic and the interaction with QUIC's loss recovery is delicately handled.
The QUIC Transport Protocol: Design and Internet-Scale Deployment,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Handshake latency, search latency, rebuffer rate, throughput",Not a multipath paper; its relevance is architectural.
ReLeS: A Neural Adaptive Multipath Scheduler based on Deep Reinforcement Learning,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,"The abstract exposes no state space, action space, reward terms, baselines or hyperparameters, and the full text is paywalled - so the paper cannot be quantitatively compared or reproduced from open sources. That is itself a reproducibility finding."
DeepCC: Multi-Agent Deep Reinforcement Learning Congestion Control for Multi-Path TCP Based on Self-Attention,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,"Total goodput, average jitter (difference of consecutive RTTs), per-path goodput ratio, CPU and memory usage, convergence time, robustness in unseen environments",All paths are emulated on one host with tc/ethtool rather than real Wi-Fi/LTE radio; bulk FTP traffic only (no video/web); the scheduler is evaluated per-connection rather than in a sliced/core-network setting; no orchestrator or slice objective is involved.
Leveraging Coupled BBR and Adaptive Packet Scheduling to Boost MPTCP,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Throughput, goodput, fairness","Rule-based coupling to a specific congestion control; no learning, no orchestrator awareness."
BBR-Based Congestion Control and Packet Scheduling for Bottleneck Fairness Considered Multipath TCP in Heterogeneous Wireless Networks,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,"Throughput, fairness (Jain-style), RTT",Rule-based; fairness is addressed at the congestion-control level rather than through a network-level (orchestrated) objective.
BLEST: Blocking estimation-based MPTCP scheduler for heterogeneous networks,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Goodput, head-of-line blocking delay, completion time",Heuristic with no learning; relies on accurate send-rate estimation; does not consider application or network-level objectives.
ECF: An MPTCP Path Scheduler to Manage Heterogeneous Paths,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Goodput, completion time, buffer occupancy",Rule-based and tuned to the receive-buffer regime; no learning; no network-level objective.
Peekaboo: Learning-Based Multipath Scheduling for Dynamic Heterogeneous Environments,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Goodput/latency under changing path conditions,"Learns a scheduling policy but has no interface to network-level objectives (slice, SLA, orchestrator); evaluation remains transport-level."
CMT-QA: Quality-Aware Adaptive Concurrent Multipath Data Transfer in Heterogeneous Wireless Networks,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Throughput, goodput, reordering, delay",Pre-5G transport (SCTP/CMT) that is not deployed in 5G cores; heuristic rather than learned.
Bandwidth-Efficient Multipath Transport Protocol for Quality-Guaranteed Real-Time Video Over Heterogeneous Wireless Networks,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Video quality (PSNR/quality level), bandwidth efficiency, deadline miss rate",Application-specific (video); heuristic; no learning and no network-level control interface.
"Tokens, Not Packets: Rethinking the Multipath QUIC Scheduling Interface",1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NR,Interface/measurement contribution rather than a new scheduler; very recent (2026).
A Stream-Aware Multipath QUIC Scheduler for Heterogeneous Paths,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Throughput, stream completion time","Heuristic and stream-oriented; no learning, no network-level objective."
"A Survey on Multipath Transport Protocols Towards 5G Access Traffic Steering, Switching and Splitting",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,N/A,Survey - no primary scheduler contribution; documents the ATSSS architecture and the multipath protocol candidates.
Multipath QUIC for Access Traffic Steering Switching and Splitting in 5G Advanced,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Throughput, latency, switching delay",Standards/prototype orientation; the steering policy itself is not learned and does not optimise network-level objectives.
Cost optimized multipath scheduling in 5G for Video-on-Demand traffic,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cost, QoE",Cost-oriented and application-specific; no learning and no orchestrator integration.
GCLR: GNN-Based Cross Layer Optimization for Multipath TCP by Routing,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Throughput/goodput, delay","Optimises routing, not the scheduler itself; no network-level objective; GNN retraining requirements."
Multipath TCP Meets Reinforcement Learning: A Novel Energy-Efficient Scheduling Approach in Heterogeneous Wireless Networks,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Energy consumption, throughput",Energy-only objective at the transport layer; no network-level objective and no orchestrator interface.
DAPS: Intelligent delay-aware packet scheduling for multipath transport,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
NetConfEval: Can LLMs Facilitate Network Configuration?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA
"Large Language Models for Networking: Applications, Enabling Techniques, and Challenges",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA
Mobile-LLaMA: Instruction Fine-Tuning Open-Source LLM for Network Analysis in 5G Networks,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,NA,NA
TelecomGPT: A Framework to Build Telecom-Specific Large Language Models,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA
NetLLM: Adapting Large Language Models for Networking,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,NA,NA
Large Language Models for Zero Touch Network Configuration Management,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
LLM-xApp: A Large Language Model Empowered Radio Resource Management xApp for 5G O-RAN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,NA,NA
LLM-Driven Agentic AI Approach to Enhanced O-RAN Resilience in Next-Generation Networks,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,NA,NA
Semantic Routing for Enhanced Performance of LLM-Assisted Intent-Based 5G Core Network Management and Orchestration,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA
Towards Intent-Based Network Management: Large Language Models for Intent Extraction in 5G Core Networks,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA
LLMs for Network Engineering Automation: State of the Art and Research Directions,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
A Comprehensive Survey on LLM‐Based Network Management and Operations,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
Intent‐Based Automated NFV Management Methods Using Large Language Models,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
Large Language Models for Telecom: Forthcoming Impact on the Industry,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA
TeleQnA: A Benchmark Dataset to Assess Large Language Models Telecommunications Knowledge,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA
OperAID: Benchmarking LLM Agents for Autonomous Kubernetes Fault Remediation,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,NA,NA
"Foundation Models and Large Language Models in Next Generation Networks: Comparison, Opportunities and Challenges",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
WirelessGPT: A Generative Pre-Trained Multi-Task Learning Framework for Wireless Communication,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
Telemetry and Agentic AI: Foundations for Optical Network Automation,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
Tackling Ambiguity in User Intent for LLM-based Network Configuration Synthesis,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
LLM-Powered Troubleshooting for Telecommunication Network Operation and Management: A Fault-Lifecycle Survey,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA
QLoRA: Efficient Finetuning of Quantized LLMs,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA
TinyBERT: Distilling BERT for Natural Language Understanding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA
IoV-BERT-IDS: Hybrid Network Intrusion Detection System in IoV Using Large Language Models,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
Tele-LLMs: A Series of Specialized Large Language Models for Telecommunications,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,"Task is telecom knowledge/literature (Q&A, citation prediction and recommendation), NOT network management decisions or network KPIs. No compression experiments. Full FT costs 8xA6000 and 5000 GPU hours."
Intelligent O-RAN Traffic Steering for URLLC Through Deep Reinforcement Learning,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,NA,NA
Empowering Traffic Steering in 6G Open RAN With Deep Reinforcement Learning,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,NA,NA
SFCPlanner: An Online SFC Planning Approach With SRv6 Flow Steering,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA
Programmable and Customized Intelligence for Traffic Steering in 5G Networks Using Open RAN Architectures,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,NA,NA
Routing and Traffic Engineering in Software Defined Networks (survey),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
Deep Reinforcement Learning for Traffic Engineering in Software-Defined Networks: A Survey,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA
Network Service Orchestration: A survey,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,N/A,Survey (2019) - predates the LLM/agent wave; useful as the baseline definition of 'orchestration'.
Knowledge-Defined Networking,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,N/A,"Vision paper: no implementation or measurement; does not solve how the knowledge plane makes safe, verifiable decisions."
An Autonomous Network Orchestration Framework Integrating Large Language Models with Continual Reinforcement Learning,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,Normalised allocation cost; reward = average resource cost / allocated cost; number of supported users,"Single small-scale simulation (10 nodes/10 users); two figures with no numbers; no comparison to any external published orchestrator or standard DRL/optimisation baseline; exemplar bootstrapping requires an exact solver; no SLA object, no slicing, no standard management-plane mapping, no testbed."
AGILE-6G: Agentic AI for Autonomous Management of 6G Network/Application Services,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA
Intelligent and Collaborative Orchestration of Network Slices,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA
Machine Learning-Based Multi-Domain Actuation Orchestration in Support of End-to-End Service Quality-Assurance,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
SafeSCHEMA: Multi-domain Orchestration of Slices based on SafeRL for B5G Networks,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA
Using Distributed Reinforcement Learning for Resource Orchestration in a Network Slicing Scenario,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,Expected system utility E[Omega]; per-resource utility E[Omega_rho] for throughput/compute/memory/delay; probability that Omega exceeds a threshold,"Static routes assumed (routing not optimised); simulation only with 2-6 flows and hand-set parameters; no admission control (listed as future work); centralised observation database for training; results read from the pre-review 2021 preprint, so the published ToN version may differ; in the hardest scenario the simple heuristic wins."
LLM-Driven Multi-Agent Framework for Autonomous Network Slice Management: Architecture and Proof-of-Concept Experiments,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,NA,NA
A Feasibility-Shielded Agentic AI Framework for 6G Self-Healing Core Networks,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA
ORION: Intent-Aware Orchestration in Open RAN for SLA-Driven Network Management,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,Policy generation success rate; translation fidelity against a 100-intent dataset; tool-use reliability; resource overhead; end-to-end latency; cost-performance trade-off,"No open-weight, no small, and no fine-tuned models - says nothing about the compression/size question. The headline 100% figure is a tool-invocation success rate, not an end-to-end autonomy result. Preprint."
An Improved MPQUIC Scheduler Based on Multi-Agent Reinforcement Learning,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA
Deep Reinforcement Learning for Access Traffic Splitting in 5G Core System,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA
Autonomous Access Traffic Splitting via 5G Core: Balancing QoS and ROI with Multi-Objective Reinforcement Learning,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA
A Reinforcement Learning-based Multipath Scheduling for Heterogeneous Wireless Networks,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
PRISM: Proximal policy optimization with deep Reinforcement learning for Intelligent Scheduling in Multipath QUIC under heterogeneous and hybrid 5G/B5G-satellite networks,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA
MobStream: A Reinforcement-Driven Mobile Streaming Methodology Over Multipath QUIC,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
NIKA: A Network Arena for Benchmarking AI Agents on Network Troubleshooting,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,"Detection success, fault localisation accuracy, root-cause identification accuracy, time to detection, tool usage patterns","Preprint (arXiv:2512.16381); incidents are IP/data-centre/campus/ISP scenarios - no 5G core, RAN or slice management; scores diagnosis, not service outcomes; no cost metric."
NetArena: Dynamic Benchmarks for AI Agents in Network Automation,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,"Task correctness, step-wise safety, latency; contamination and statistical-power analysis","Peer-reviewed at ICLR 2026, but the scenarios are IP/enterprise/datacentre; the authors concede limited coverage of cross-domain scenarios; no 5G core, RAN, slicing or SLA-level outcome scoring."
OperAID: Benchmarking LLM Agents for Autonomous Kubernetes Fault Remediation,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,"Remediation success rate, cost per run","Faults are Kubernetes-level (NetworkPolicy, ConfigMap, replica scaling), not 3GPP protocol-level (NAS/NGAP/PFCP/SBI semantics are not exercised); no RAN; no SLA/KPI scoring; venue reported inconsistently between the repository BibTeX and Crossref."
Go Gentle Into the Final Dance: A Benchmark for Evaluating LLMs in Telecom (LDOT),0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,Accuracy per task category,"Static suite published in IEEE JSAC; scenarios are posed as questions rather than executed; no closed loop, no service-level outcomes."
SADE: Symptom-Aware Diagnostic Escalation for LLM-Based Network Troubleshooting,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,Diagnostic accuracy and escalation efficiency,"An agent-design paper rather than a benchmark; inherits NIKA's scope (IP-network troubleshooting, no 5G core, no SLA scoring)."
TSpec-LLM: An Open-source Dataset for LLM Understanding of 3GPP Specifications,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,QA accuracy with and without retrieval,"RAG retrieval, not model adaptation - improves accuracy without changing model size, making it a direct ALTERNATIVE to compression for edge deployment. Used as the retrieval corpus by the NetSoft 2025 paper (#10)."
Telco-RAG: Navigating the Challenges of Retrieval Augmented Generation for Telecommunications,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Retrieval and answer quality,"No fine-tuning and no compression. The RAM-reducing neural router is adjacent evidence for deployment efficiency. WARNING: there is a DISTINCT paper called TelecomRAG (Yilma et al., ACM SIGCOMM CCR 54(3):18-23, 2024, DOI 10.1145/3711992.3711996) - do not conflate."
TelecomRAG: Taming Telecom Standards with Retrieval Augmented Generation and LLMs,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Answer accuracy,"Knowledge/QA contribution; no management action, no evaluation of network outcomes."
NetIntent: Leveraging Large Language Models for End-to-End Intent-Based Networking,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,"Intent translation accuracy, conflict detection performance","No fine-tuning, so it does not test whether a small fine-tuned model could replace a large prompted one. Results are highly prompt- and schema-sensitive, which the authors acknowledge."
An Empirical Study of NetOps Capability of Pre-Trained Large Language Models (NetEval),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,Accuracy,"Preprint (arXiv:2309.05557), static QA, no agentic tool use and no 5G/6G specificity."
